,bitte,Tafel,Fehler,ea,Schuster
1936-05-05_Landsberger_Mueller,1.32,0.0,0.0,0.0,1.32
1936-05-09_Mueller_Landsberger,0.0,0.0,0.0,0.0,2.87
1936-11-07_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.14
1936-12-13_Landsberger_Mueller,2.48,0.0,0.0,0.0,2.48
1936-12-17_Landsberger_Mueller,2.9,0.0,0.0,0.0,4.35
1937-02-09_Landsberger_Mueller,0.0,0.0,0.0,2.61,1.74
1937-03-01_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.38
1937-03-05_Mueller_Landsberger,0.0,0.0,0.0,0.0,2.35
1937-03-29_Landsberger_Mueller,3.03,3.03,2.27,2.27,1.52
1937-04-06_Landsberger_Mueller,2.07,0.0,0.0,0.0,0.0
1937-04-07_Mueller_Landsberger,0.0,0.0,0.0,0.0,1.57
1937-04-13_Landsberger_Mueller,0.0,0.0,0.0,0.0,1.46
1937-04-16_Mueller_Landsberger,0.0,0.0,0.0,0.0,4.62
1937-05-03_Landsberger_Mueller,0.0,0.0,0.0,0.0,5.71
1937-05-08_Landsberger_Mueller,1.09,0.0,0.0,2.17,1.09
1937-05-14_Landsberger_Mueller,0.0,0.0,0.0,0.0,3.06
1937-05-18_Mueller_Landsberger,0.0,0.0,0.0,0.0,3.12
1937-05-26_Mueller_Landsberger,0.0,0.0,0.0,0.0,3.73
1937-06-01_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.78
1937-06-05_Mueller_Landsberger,0.0,0.0,0.0,0.0,2.4
1937-06-07_Saarisalo_Landsberger,0.0,7.14,0.0,0.0,0.0
1937-06-19_Landsberger_Mueller,2.72,0.0,0.0,0.0,0.0
1937-07-25_Mueller_Landsberger,0.0,0.0,0.0,0.0,3.57
1937-11-22_Mueller_Landsberger,0.0,0.0,0.0,0.0,1.65
1937-12-12_Landsberger_Mueller,0.0,0.0,0.0,0.0,2.65
1938-01-20_Mueller_Landsberger,0.0,0.0,0.0,0.0,1.57
1938-04-20_Mueller_Landsberger,0.0,0.0,0.0,0.0,8.57
1938-08-04_Landsberger_Mueller,1.4,0.0,0.0,0.0,0.0
Summe,17.01,10.17,2.27,7.05,68.7
