,Schuster,endlich,Prüfung,Keilschrift,na
1933-03-08_Gadd_Landsberger,0.0,0.0,0.0,5.6,0.0
1936-05-05_Landsberger_Mueller,1.32,0.0,0.0,0.0,0.0
1936-05-09_Mueller_Landsberger,2.87,0.0,1.72,0.0,0.0
1936-11-07_Landsberger_Mueller,2.14,0.0,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,2.48,0.0,0.0,0.0,0.0
1936-12-17_Landsberger_Mueller,4.35,0.0,0.0,0.0,0.0
1937-02-09_Landsberger_Mueller,1.74,0.0,0.0,0.0,0.0
1937-03-01_Landsberger_Mueller,2.38,0.0,0.0,0.0,0.0
1937-03-05_Mueller_Landsberger,2.35,0.0,0.0,0.0,0.0
1937-03-29_Landsberger_Mueller,1.52,0.0,0.0,0.0,0.0
1937-04-07_Mueller_Landsberger,1.57,0.0,0.0,0.0,0.0
1937-04-13_Landsberger_Mueller,1.46,0.0,0.0,0.0,0.0
1937-04-16_Mueller_Landsberger,4.62,0.0,0.0,0.0,0.0
1937-05-03_Landsberger_Mueller,5.71,0.0,0.0,0.0,0.0
1937-05-08_Landsberger_Mueller,1.09,0.0,0.0,0.0,0.0
1937-05-14_Landsberger_Mueller,3.06,0.0,0.0,0.0,0.0
1937-05-18_Mueller_Landsberger,3.12,0.0,0.0,0.0,0.0
1937-05-26_Mueller_Landsberger,3.73,0.0,0.0,0.0,0.0
1937-06-01_Landsberger_Mueller,2.78,0.0,0.0,0.0,0.0
1937-06-05_Mueller_Landsberger,2.4,1.6,1.6,1.6,1.6
1937-07-25_Mueller_Landsberger,3.57,0.0,0.0,0.0,0.0
1937-11-22_Mueller_Landsberger,1.65,0.0,0.0,0.0,0.0
1937-12-12_Landsberger_Mueller,2.65,0.0,0.0,0.0,0.0
1938-01-20_Mueller_Landsberger,1.57,0.0,0.0,0.0,0.0
1938-04-20_Mueller_Landsberger,8.57,0.0,0.0,0.0,0.0
1962-02-19_Finkelstein_Landsberger,0.0,0.0,0.0,14.67,0.0
Summe,68.7,1.6,3.32,21.87,1.6
